game_id,block_id,engine_white,engine_black,opening_white,opening_black,heuristic_white,heuristic_black,depth_white,depth_black,sim_white,sim_black,stockfish_elo,result_white,result_black,plies,avg_move_ms_white,p95_move_ms_white,max_move_ms_white,avg_move_ms_black,p95_move_ms_black,max_move_ms_black,max_material_swing_cp,blunder_white,blunder_black,white_castled_before_10,black_castled_before_10
I.3.d3.elo1100-001,I.3.d3.elo1100,alphabeta,stockfish,off,na,na,na,3,,,,1100,W,L,89,15959.43,65448.40,119168.49,99.39,102.16,104.96,2110,0,0,1,0
I.3.d3.elo1100-002,I.3.d3.elo1100,stockfish,alphabeta,na,off,na,na,,3,,,1100,L,W,66,95.87,102.24,106.17,4985.72,15087.39,25006.79,2580,0,0,0,1
I.3.d3.elo1200-001,I.3.d3.elo1200,alphabeta,stockfish,off,na,na,na,3,,,,1200,W,L,69,3998.68,10731.98,23796.45,96.16,102.32,105.80,2200,0,0,1,0
I.3.d3.elo1200-002,I.3.d3.elo1200,stockfish,alphabeta,na,off,na,na,,3,,,1200,L,W,108,99.51,102.08,106.19,3400.38,11856.63,16892.35,1460,0,0,0,1
I.3.d3.elo200-001,I.3.d3.elo200,alphabeta,stockfish,off,na,na,na,3,,,,200,W,L,69,12239.77,43156.22,88627.83,101.24,102.04,104.88,2480,0,0,0,0
I.3.d3.elo200-002,I.3.d3.elo200,stockfish,alphabeta,na,off,na,na,,3,,,200,L,W,42,101.46,102.75,104.06,12422.77,36503.28,45327.36,1030,0,0,0,1
I.3.d3.elo300-001,I.3.d3.elo300,alphabeta,stockfish,off,na,na,na,3,,,,300,W,L,43,4126.33,7810.63,8122.28,97.01,102.54,105.08,1530,0,0,1,0
I.3.d3.elo300-002,I.3.d3.elo300,stockfish,alphabeta,na,off,na,na,,3,,,300,L,W,52,97.65,102.40,105.04,11115.46,25608.48,31789.83,2580,0,0,0,0
I.3.d3.elo400-001,I.3.d3.elo400,alphabeta,stockfish,off,na,na,na,3,,,,400,W,L,55,4399.90,9006.77,10166.71,101.49,102.57,105.02,650,0,0,1,0
I.3.d3.elo400-002,I.3.d3.elo400,stockfish,alphabeta,na,off,na,na,,3,,,400,L,W,72,98.51,102.31,106.11,4100.79,12053.85,14804.12,2060,0,0,0,0
I.3.d3.elo500-001,I.3.d3.elo500,alphabeta,stockfish,off,na,na,na,3,,,,500,W,L,69,4293.21,15839.05,18631.16,98.49,102.61,106.06,2860,0,0,1,0
I.3.d3.elo500-002,I.3.d3.elo500,stockfish,alphabeta,na,off,na,na,,3,,,500,L,W,48,101.12,101.77,105.66,9024.32,24009.58,24673.54,1830,0,0,0,0
I.3.d3.elo600-001,I.3.d3.elo600,alphabeta,stockfish,off,na,na,na,3,,,,600,W,L,153,3967.62,12555.30,36240.43,99.37,102.41,105.30,3250,0,0,1,0
I.3.d3.elo600-002,I.3.d3.elo600,stockfish,alphabeta,na,off,na,na,,3,,,600,L,W,56,94.94,101.88,106.11,12620.94,41807.29,57335.11,2350,0,0,0,1
I.3.d3.elo700-001,I.3.d3.elo700,alphabeta,stockfish,off,na,na,na,3,,,,700,D,D,105,3500.67,9886.79,18414.92,98.34,102.26,149.95,2550,0,0,1,0
I.3.d3.elo700-002,I.3.d3.elo700,stockfish,alphabeta,na,off,na,na,,3,,,700,L,W,58,101.33,102.03,104.55,8495.65,26501.37,27398.84,1830,0,0,0,1
I.3.d3.elo800-001,I.3.d3.elo800,alphabeta,stockfish,off,na,na,na,3,,,,800,W,L,71,4721.96,18622.69,21740.36,95.35,102.59,106.07,2660,0,0,1,1
I.3.d3.elo800-002,I.3.d3.elo800,stockfish,alphabeta,na,off,na,na,,3,,,800,L,W,60,98.26,102.26,106.41,5547.02,13832.75,17360.18,1330,0,0,0,1
I.3.d3.elo900-001,I.3.d3.elo900,alphabeta,stockfish,off,na,na,na,3,,,,900,W,L,45,8594.77,20878.47,20902.50,101.21,101.95,104.15,2760,0,0,0,0
I.3.d3.elo900-002,I.3.d3.elo900,stockfish,alphabeta,na,off,na,na,,3,,,900,W,L,227,98.98,102.08,105.15,7841.96,55067.91,69351.91,1420,0,0,0,0
II.1-001,II.1,alphabeta,random,on,na,na,na,3,,,,,W,L,25,2520.50,6673.63,6673.63,0.09,0.13,0.13,2050,0,0,1,0
